Button			   Date
Science,,,Fri Apr 29 2022 16:18:18 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 29 2022 16:18:19 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 29 2022 16:18:22 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 29 2022 16:18:26 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 29 2022 16:18:31 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 29 2022 16:18:35 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 29 2022 16:18:42 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 29 2022 16:18:45 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 29 2022 16:18:49 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Fri Apr 29 2022 16:18:54 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Fri Apr 29 2022 16:18:56 GMT-0700 (Pacific Daylight Time)
Video,,,Fri Apr 29 2022 16:19:02 GMT-0700 (Pacific Daylight Time)
Communication,,,Fri Apr 29 2022 16:19:09 GMT-0700 (Pacific Daylight Time)
Xband,,,Fri Apr 29 2022 16:19:11 GMT-0700 (Pacific Daylight Time)
Dsoc,,,Fri Apr 29 2022 16:19:15 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Fri Apr 29 2022 16:19:19 GMT-0700 (Pacific Daylight Time)
Central Core,,,Fri Apr 29 2022 16:19:22 GMT-0700 (Pacific Daylight Time)
Dimensions,,,Fri Apr 29 2022 16:19:24 GMT-0700 (Pacific Daylight Time)
Fun Facts,,,Fri Apr 29 2022 16:19:27 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Fri Apr 29 2022 16:19:37 GMT-0700 (Pacific Daylight Time)
3D Model,,,Fri Apr 29 2022 16:19:43 GMT-0700 (Pacific Daylight Time)
Astroid,,,Fri Apr 29 2022 16:19:49 GMT-0700 (Pacific Daylight Time)
3D Model,,,Fri Apr 29 2022 16:19:52 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Fri Apr 29 2022 16:19:53 GMT-0700 (Pacific Daylight Time)
